sentence_index,original,compressed,decompressed,achieved_compression_ratio,compression_percentage,composite_score,semantic_interpretation,embedding_similarity,llm_similarity,compression_success,model_used,provider
10,"The ancient Library of Alexandria, established in the 3rd century BCE during the Ptolemaic dynasty, represented humanity's first attempt at universal knowledge collection, housing an estimated 400,000 to 700,000 scrolls on subjects ranging from mathematics and astronomy to medicine and literature, before its gradual decline and eventual destruction over several centuries.","📚🏛️Alexandria(3rdc.BCE):400k-700k📜,universal📖;declined🔥.","The Library of Alexandria, established in the 3rd century BCE, housed an estimated 400,000 to 700,000 scrolls and aimed to be a universal repository of knowledge; however, it eventually declined and was destroyed by fire.",0.1497326203208556,85.02673796791444,0.5825550203339595,Moderate,0.8892419934272766,0.7,True,gpt-4o-2024-11-20,openai
11,"Photosynthesis, the fundamental biological process that converts carbon dioxide and water into glucose using sunlight energy captured by chlorophyll molecules, not only provides the chemical energy that powers most life on Earth but also produces the oxygen that makes aerobic respiration possible for complex multicellular organisms.",☀️+🌱: CO₂+H₂O→C₆H₁₂O₆+O₂. Vital for life.,"Sunlight and plants: Carbon dioxide and water combine to produce glucose and oxygen through photosynthesis, a process essential for sustaining life.",0.122754491017964,87.72455089820359,0.5289104411051296,Moderate,0.8391289710998535,0.7,True,gpt-4o-2024-11-20,openai
12,"The Manhattan Project, a top-secret research and development program during World War II, brought together over 130,000 workers and scientists across multiple sites in the United States to develop the world's first nuclear weapons, culminating in the atomic bombs dropped on Hiroshima and Nagasaki and fundamentally altering international relations and military strategy.",WWII🇺🇸ManhattanProj:130k→☢️Hiroshima+Nagasaki;🌍⚔️shift.,"During World War II, the United States initiated the Manhattan Project, which involved 130,000 people and led to the development of nuclear weapons that were subsequently used on Hiroshima and Nagasaki, causing a significant shift in global warfare and geopolitics.",0.1482479784366576,85.17520215633422,0.6295180925973423,Good,0.8770774602890015,0.9,True,gpt-4o-2024-11-20,openai
13,"Social media algorithms designed to maximize user engagement often create echo chambers by preferentially showing content that confirms existing beliefs and biases, leading to increased political polarization, reduced exposure to diverse viewpoints, and the rapid spread of misinformation that can have serious consequences for democratic discourse and public health.","📱🤖 amplify biases, polarize 🌍, spread 📰❌, harm 🗳️+🩺.","Smartphones and artificial intelligence amplify biases, polarize societies globally, spread misinformation, and negatively impact democracy and public health.",0.1416893732970027,85.83106267029973,0.3584998695459981,Poor,0.5734201669692993,0.5,True,gpt-4o-2024-11-20,openai
14,"The human microbiome, consisting of trillions of bacteria, viruses, fungi, and other microorganisms living in and on our bodies, plays essential roles in digestion, immune system function, mental health, and disease resistance, with recent research suggesting that disruptions to this microbial ecosystem may contribute to conditions ranging from obesity to depression.",Microbiome=🦠trillions→digest🛡️🧠🩺; disruptions→⚖️📉🧠⬇️.,"The microbiome consists of trillions of microorganisms that play a crucial role in digestion, immune defense, brain health, and overall well-being; disruptions to the microbiome can lead to imbalances, decreased health, and impaired brain function.",0.1436314363143631,85.63685636856368,0.5543122720810092,Moderate,0.8248507380485535,0.8,True,gpt-4o-2024-11-20,openai
15,"Renewable energy technologies including solar photovoltaic panels, wind turbines, and hydroelectric generators have experienced dramatic cost reductions over the past decade, making clean electricity cheaper than fossil fuels in many markets and offering a viable pathway to reduce greenhouse gas emissions while meeting growing global energy demands.",♻️☀️💨🌊>🛢️⬇️🌍🌡️⚡✅,"Renewable energy sources like solar, wind, and hydro are more sustainable and environmentally friendly than fossil fuels, leading to reduced global warming, cleaner energy, and a healthier planet.",0.0455840455840455,95.44159544159544,0.4178124845218066,Moderate,0.7341969609260559,0.5,True,gpt-4o-2024-11-20,openai
16,"The discovery of DNA's double helix structure by Watson, Crick, Franklin, and Wilkins in 1953 revolutionized biology by revealing how genetic information is stored, replicated, and transmitted across generations, laying the foundation for molecular biology, biotechnology, and our modern understanding of heredity, evolution, and genetic diseases.","🧬DNA(1953,W+C):↻bio↔heredity,evo,life's📜,🔬🔄code.","In 1953, the discovery of DNA by Watson and Crick revolutionized biology, revealing its role as the hereditary material, a cornerstone of evolution, the blueprint of life, and the molecular code that underpins all living organisms.",0.138328530259366,86.1671469740634,0.5372571839867745,Moderate,0.8420349955558777,0.7,True,gpt-4o-2024-11-20,openai
17,"Urban heat islands, caused by the replacement of natural vegetation with concrete, asphalt, and buildings that absorb and retain solar energy, can make cities 2-5 degrees Celsius warmer than surrounding rural areas, exacerbating air conditioning energy use, air pollution, and heat-related health problems, particularly affecting low-income communities.","🏙️🔥=⬆️2-5°C↔️🌳➡️🛠️, ⚡+☁️+💔📈, 🎯💸⬇️.","Urban areas experience a temperature increase of 2 to 5 degrees Celsius due to reduced greenery, requiring restoration efforts, while energy consumption, pollution, and environmental degradation rise, leading to economic challenges and a decline in overall well-being.",0.0963172804532577,90.3682719546742,0.438748654506133,Moderate,0.7161641716957092,0.6,True,gpt-4o-2024-11-20,openai
18,"The development of antibiotics, beginning with Alexander Fleming's accidental discovery of penicillin in 1928, has saved millions of lives by enabling doctors to treat previously fatal bacterial infections, but the overuse and misuse of these drugs has led to the evolution of antibiotic-resistant bacteria that pose an increasingly serious threat to global public health.",💊🧫:1928 Fleming🧪➡️🌍💉.Misuse⚠️🦠🆚💊⏩📉🌍health.,"In 1928, Alexander Fleming discovered penicillin in a laboratory, which eventually revolutionized global medicine and led to the development of life-saving antibiotics. However, the misuse of antibiotics has led to the rise of antibiotic-resistant bacteria, posing a significant threat to global health.",0.1129032258064516,88.70967741935483,0.6246892916976052,Good,0.9494609236717224,0.8,True,gpt-4o-2024-11-20,openai
19,"Artificial neural networks inspired by the structure and function of biological neurons use layers of interconnected nodes to process information, with deep learning architectures containing millions or billions of parameters that can learn complex patterns from data through backpropagation algorithms, enabling breakthroughs in computer vision, natural language processing, and game playing.","🤖🧠 mimic neurons➡️layers process data. 🧬📚+🔢=🚀 in 👁️,🗣️🎮.","Artificial intelligence mimics the functioning of neurons by processing data through layers. Combining genetics and knowledge with computational power leads to advancements in vision, language, and gaming.",0.1424936386768447,85.75063613231552,0.404396037724118,Moderate,0.7058808207511902,0.5,True,gpt-4o-2024-11-20,openai
