sentence_index,original,compressed,decompressed,achieved_compression_ratio,compression_percentage,composite_score,semantic_interpretation,embedding_similarity,llm_similarity,compression_success,model_used,provider
10,"The ancient Library of Alexandria, established in the 3rd century BCE during the Ptolemaic dynasty, represented humanity's first attempt at universal knowledge collection, housing an estimated 400,000 to 700,000 scrolls on subjects ranging from mathematics and astronomy to medicine and literature, before its gradual decline and eventual destruction over several centuries.","🏛️☥-3C:1ˢᵗ🌍📚,∀📜4-700k.📉➡️🔥⏳","The Library of Alexandria, founded in Egypt during the 3rd century BC, was the first universal library in the world, holding an estimated 400,000 to 700,000 scrolls before its eventual decline and destruction by fire over time.",0.0721925133689839,92.7807486631016,0.6049242213628035,Good,0.8841164112091064,0.8,True,gemini-2.5-pro,gemini
11,"Photosynthesis, the fundamental biological process that converts carbon dioxide and water into glucose using sunlight energy captured by chlorophyll molecules, not only provides the chemical energy that powers most life on Earth but also produces the oxygen that makes aerobic respiration possible for complex multicellular organisms.","CO₂+H₂O --(☀️,🌿)→ C₆H₁₂O₆(⚡️🌍) + O₂(→🫁)","Using energy from sunlight, plants convert carbon dioxide and water into glucose, which provides the chemical energy for life on Earth, and oxygen, which is subsequently released for respiration.",0.1167664670658682,88.32335329341318,0.6201486584319232,Good,0.8644771575927734,0.8,True,gemini-2.5-pro,gemini
12,"The Manhattan Project, a top-secret research and development program during World War II, brought together over 130,000 workers and scientists across multiple sites in the United States to develop the world's first nuclear weapons, culminating in the atomic bombs dropped on Hiroshima and Nagasaki and fundamentally altering international relations and military strategy.","WWII's 🤫M-Proj: >130k👥 in 🇺🇸→1ˢᵗ ⚛️💣; 🎯H&N, 🔄🌍🤝⚔️.","During World War II, the secret Manhattan Project involved over 130,000 personnel in the United States to develop the first atomic bomb; its targeting of Hiroshima and Nagasaki fundamentally reshaped global geopolitics and the nature of warfare.",0.1347708894878706,86.52291105121293,0.6146869264991565,Good,0.892633855342865,0.8,True,gemini-2.5-pro,gemini
13,"Social media algorithms designed to maximize user engagement often create echo chambers by preferentially showing content that confirms existing beliefs and biases, leading to increased political polarization, reduced exposure to diverse viewpoints, and the rapid spread of misinformation that can have serious consequences for democratic discourse and public health.","SoMe⚙️→echo(✓🧠)→↑pol⚔️,↓👁️‍🗨️,⏩🤥→☠️🏛️&🏥","The way social media operates creates echo chambers that validate existing beliefs, which in turn leads to increased political polarization, a decline in public discourse, and the rapid spread of misinformation, ultimately causing the decay of governmental and public health institutions.",0.106267029972752,89.3732970027248,0.5912552163965483,Moderate,0.8316026926040649,0.7,True,gemini-2.5-pro,gemini
14,"The human microbiome, consisting of trillions of bacteria, viruses, fungi, and other microorganisms living in and on our bodies, plays essential roles in digestion, immune system function, mental health, and disease resistance, with recent research suggesting that disruptions to this microbial ecosystem may contribute to conditions ranging from obesity to depression.","🧍‍♀️🦠: 🔑 for digestion, 🛡️, 🧠. Imbalance↯ → obesity, 😔.","The human microbiome is essential for digestion, immune defense, and brain function; an imbalance can lead to conditions such as obesity and depression.",0.1490514905149051,85.09485094850947,0.5415035286623663,Moderate,0.9013510942459106,0.7,True,gemini-2.5-pro,gemini
15,"Renewable energy technologies including solar photovoltaic panels, wind turbines, and hydroelectric generators have experienced dramatic cost reductions over the past decade, making clean electricity cheaper than fossil fuels in many markets and offering a viable pathway to reduce greenhouse gas emissions while meeting growing global energy demands.","~10y: ♻️(☀️,🌬️,💧) 💰↓↓ ⇒ ⚡️<⛽️ → CO₂↓ & meet 🌍⚡️↑","Over the past decade, the cost of renewable energy sources like solar, wind, and hydropower has dropped significantly, making electricity from these sources cheaper than fossil fuels, which in turn leads to lower carbon dioxide emissions while helping to meet rising global energy demands.",0.1367521367521367,86.32478632478633,0.6545156665986921,Good,0.8485260009765625,0.9,True,gemini-2.5-pro,gemini
16,"The discovery of DNA's double helix structure by Watson, Crick, Franklin, and Wilkins in 1953 revolutionized biology by revealing how genetic information is stored, replicated, and transmitted across generations, laying the foundation for molecular biology, biotechnology, and our modern understanding of heredity, evolution, and genetic diseases.",1953:WCFW 🔎📜 🧬's ℹ️→ ⇒ modern bio's 🧱,"In 1953, the paper by Watson and Crick revealing the structure of DNA provided the foundational building block for modern biology.",0.1066282420749279,89.33717579250721,0.4305060598449012,Moderate,0.7811431884765625,0.5,True,gemini-2.5-pro,gemini
17,"Urban heat islands, caused by the replacement of natural vegetation with concrete, asphalt, and buildings that absorb and retain solar energy, can make cities 2-5 degrees Celsius warmer than surrounding rural areas, exacerbating air conditioning energy use, air pollution, and heat-related health problems, particularly affecting low-income communities.","UHI:🌳→🧱(📥☀️)→🏙️+2-5°C>🌳→↑AC⚡,💨,🏥💔,harms🙍most","The Urban Heat Island effect, where replacing natural land cover with buildings and pavement that absorb solar energy causes cities to become 2-5°C warmer than surrounding rural areas, leads to increased energy consumption for air conditioning, worse air pollution, and negative health outcomes like heat-related mortality that disproportionately harm the most vulnerable populations.",0.1246458923512747,87.53541076487252,0.6757850480917511,Good,0.8947487473487854,0.9,True,gemini-2.5-pro,gemini
18,"The development of antibiotics, beginning with Alexander Fleming's accidental discovery of penicillin in 1928, has saved millions of lives by enabling doctors to treat previously fatal bacterial infections, but the overuse and misuse of these drugs has led to the evolution of antibiotic-resistant bacteria that pose an increasingly serious threat to global public health.","Abx saved M, but overuse→resistance, now a 🌍 health ☣️.","Although antibiotics have saved countless lives, their overuse has led to widespread resistance, which now poses a global health crisis.",0.1478494623655914,85.21505376344086,0.4619261528168967,Moderate,0.7066750526428223,0.7,True,gemini-2.5-pro,gemini
19,"Artificial neural networks inspired by the structure and function of biological neurons use layers of interconnected nodes to process information, with deep learning architectures containing millions or billions of parameters that can learn complex patterns from data through backpropagation algorithms, enabling breakthroughs in computer vision, natural language processing, and game playing.","ANNs/DL🧠(☰🕸️, 10⁹+θ) learn 📈 ←backprop ⇒🚀 in 👀/🗣️/🎮","Artificial Neural Networks, specifically Deep Learning models, which are characterized by multi-layered complex architectures containing over a billion parameters, learn and improve by using the backpropagation algorithm, resulting in major breakthroughs in fields like computer vision, speech recognition, and game playing.",0.1297709923664122,87.02290076335878,0.6159985318797767,Good,0.8597915768623352,0.8,True,gemini-2.5-pro,gemini
